Power,1W,3W,5W,3I,4I,5I,6I,7I,8I,9I,PW,SW,LW,P
0.33,0.568125622,0.52275038,0.496413703,0.474071486,0.45067514,0.425363273,0.394819284,0.378642162,0.346654102,0.323234778,0.296333461,0.264221567,0.229377397,0.146521729
0.34,0.581105753,0.533954905,0.510581983,0.485867399,0.464120673,0.438689799,0.410010886,0.391963631,0.362323722,0.335049017,0.311977291,0.27838585,0.239326298,0.153154328
0.35,0.591194475,0.545861627,0.521256231,0.498914297,0.476949719,0.450145204,0.42332569,0.407009874,0.373870844,0.347891491,0.325037289,0.289683396,0.251669981,0.161414346
0.36,0.601869367,0.556418735,0.533030437,0.511567525,0.489587104,0.464447222,0.434815362,0.418409886,0.386652501,0.363821009,0.33627493,0.302725858,0.26606874,0.171891886
0.37,0.61151906,0.569385077,0.544749284,0.523822362,0.502526254,0.476680925,0.449819197,0.431087246,0.402363415,0.376892079,0.351992487,0.318153316,0.27837379,0.180595034
0.38,0.623433863,0.579522321,0.557718923,0.534432116,0.514793004,0.491261675,0.462430861,0.446307789,0.413655242,0.38818614,0.36465705,0.330306885,0.288759075,0.189486856
0.39,0.632680885,0.590737189,0.567977176,0.548360799,0.525787452,0.503345508,0.473504957,0.458743487,0.426397125,0.403428863,0.37582683,0.341324963,0.304635792,0.197118959
0.4,0.641740978,0.600497094,0.578750107,0.558776079,0.539492792,0.514004815,0.48810397,0.470845347,0.441321013,0.416549603,0.391796052,0.358670217,0.316917529,0.206345269
0.41,0.651536443,0.612842068,0.589131113,0.570283502,0.550154212,0.527694052,0.500285004,0.481849347,0.454165691,0.427317302,0.404344262,0.370398698,0.327536706,0.215754046
0.42,0.66193317,0.622097447,0.601065379,0.580358346,0.561495281,0.539308466,0.510691445,0.496306572,0.46477463,0.442959593,0.41539653,0.38144048,0.343461571,0.227350315
0.43,0.670469859,0.631334054,0.610422645,0.590516905,0.571842704,0.549712248,0.525090709,0.508235267,0.479965318,0.455523235,0.43126986,0.397898421,0.356140773,0.237160373
0.44,0.679623589,0.643177951,0.621218442,0.602953765,0.585086789,0.562967475,0.53522254,0.522459805,0.490608192,0.466386929,0.44184942,0.408947235,0.367316802,0.247143997
0.45,0.687977121,0.652096213,0.631410105,0.612549509,0.594719221,0.57309085,0.546859271,0.532500023,0.502725535,0.481489036,0.454804318,0.421719394,0.381861149,0.257298268
